pasar,tanggal,bulan,hari,kode_komoditas,kategori,nama_bahan_pokok,satuan,harga,harga_rata2_bulan_lalu,harga_rata2_bulan_ini,perubahan_rp,perubahan_persen,keterangan
CITRA MAS,2026-01-05,2026-01,SENIN,1.001,BERAS,Beras Ayam Jago,1 kg,16100,,16100,,,
CITRA MAS,2026-01-05,2026-01,SENIN,1.002,BERAS,Beras Berlian,1 kg,16100,,16100,,,
CITRA MAS,2026-01-05,2026-01,SENIN,1.004,BERAS,Beras Ketupat,1 kg,15400,,15400,,,
CITRA MAS,2026-01-05,2026-01,SENIN,1.005,BERAS,Beras Mawar,1 kg,15400,,15400,,,
CITRA MAS,2026-01-05,2026-01,SENIN,1.006,BERAS,Beras Pandan Wangi,1 kg,16100,,16100,,,
CITRA MAS,2026-01-05,2026-01,SENIN,1.008,BERAS,Beras Sulawesi,1 kg,15400,,15400,,,
CITRA MAS,2026-01-05,2026-01,SENIN,1.009,BERAS,Beras Tawon,1 kg,16100,,16100,,,
CITRA MAS,2026-01-05,2026-01,SENIN,10.001,KACANG KEDELAI,Kacang Kedelai Impor,kg,18000,,18000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,11.001,MIE INSTANT,Indomie Rasa Kari Ayam,bks,3000,,3000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,12.001,CABE,Cabe Biasa/Tiung,kg,50000,,45000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,12.002,CABE,Cabe Keriting,kg,40000,,38333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,12.003,CABE,Cabe Merah Besar,kg,40000,,38333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,12.004,CABE,Cabe Rawit,kg,100000,,100000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,13.001,BAWANG MERAH,Bawang Merah,kg,50000,,45000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,14.001,BAWANG PUTIH,Bawang Putih,kg,40000,,40000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,15.002,IKAN ASIN TERI KECIL,Ikan Asin Teri Kecil,kg,120000,,120000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,16.001,IKAN ASIN TERI BESAR,Ikan Asin Teri Besar,Kg,80000,,80000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,17.002,KACANG HIJAU,Kacang Hijau,kg,28000,,28000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,18.002,KACANG TANAH,Kacang Tanah,kg,44000,,42667,,,
CITRA MAS,2026-01-05,2026-01,SENIN,19.002,KETELA POHON,Ketela Pohon,kg,7000,,7000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,2.001,GULA PASIR,Curah Dalam Negeri (Putih),1 kg,18000,,18000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,2.002,GULA PASIR,Dalam Negeri (agak merah),1 kg,17000,,17000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,2.006,GULA PASIR,Gulaku,1 kg,19000,,19000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,20.002,MINYAK TANAH,Minyak Tanah,kg,18000,,18000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,21.003,SAYUR MAYUR,Kentang,kg,18000,,18000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,21.005,SAYUR MAYUR,Kol,kg,13000,,13000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,21.007,SAYUR MAYUR,Tomat,kg,13000,,12667,,,
CITRA MAS,2026-01-05,2026-01,SENIN,21.008,SAYUR MAYUR,Wortel,kg,22000,,21667,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.001,PERIKANAN,Cumi - Cumi,kg,100000,,95000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.002,PERIKANAN,Ikan Bandeng,kg,40000,,38333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.003,PERIKANAN,Ikan Baronang,kg,80000,,80000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.004,PERIKANAN,Ikan Bawis,kg,50000,,46667,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.005,PERIKANAN,Ikan Kakap Merah,kg,75000,,75000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.006,PERIKANAN,Ikan Kembung,kg,50000,,48333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.007,PERIKANAN,Ikan Kerapu,kg,35000,,35000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.008,PERIKANAN,Ikan Ketamba,kg,25000,,25000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.009,PERIKANAN,Ikan Layang,kg,45000,,48333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.01,PERIKANAN,Ikan Lele,kg,35000,,35000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.011,PERIKANAN,Ikan Mas ( Tawar Segar ),kg,45000,,45000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.012,PERIKANAN,Ikan Patin,kg,35000,,36500,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.013,PERIKANAN,Ikan Putih,kg,60000,,60000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.014,PERIKANAN,Ikan Tenggiri,kg,90000,,90000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.015,PERIKANAN,Ikan Tongkol,kg,40000,,30000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.016,PERIKANAN,Kepiting,kg,55000,,55000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,22.017,PERIKANAN,Udang,kg,70000,,66667,,,
CITRA MAS,2026-01-05,2026-01,SENIN,23.001,BUAH - BUAHAN,Apel Impor,kg,40000,,43333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,23.002,BUAH - BUAHAN,Apel Lokal ( Malang ),kg,35000,,35000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,23.003,BUAH - BUAHAN,Jeruk Impor,kg,60000,,60000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,23.004,BUAH - BUAHAN,Jeruk Lokal,kg,25000,,25000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,23.005,BUAH - BUAHAN,Mangga,kg,30000,,30000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,23.006,BUAH - BUAHAN,Pisang ambon,Sisir,15000,,15000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,23.007,BUAH - BUAHAN,Semangka,kg,13000,,12667,,,
CITRA MAS,2026-01-05,2026-01,SENIN,24.002,BARANG STRATEGIS,Semen Tonasa,50 kg,75000,,75000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,24.003,BARANG STRATEGIS,Seng Gelombang,Lbr,55000,,55000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,3.001,MINYAK GORENG,Minyak Goreng Kemasan 1 Liter,1 ltr,23000,,23000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,3.002,MINYAK GORENG,Minyak Goreng Kemasan 2 Liter,2 ltr,43000,,43000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,3.003,MINYAK GORENG,Minyak Curah,1 ltr,18000,,18333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,3.004,MINYAK GORENG,Minyak KITA,1 ltr,19000,,19000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,4.001,DAGING,"Daging Ayam Boiler 1,8 kg","1,8 kg",50000,,54333,,,
CITRA MAS,2026-01-05,2026-01,SENIN,4.002,DAGING,Daging Ayam Boiler 1 kg,1 kg,28000,,30500,,,
CITRA MAS,2026-01-05,2026-01,SENIN,4.003,DAGING,Daging Ayam Kampung,1 ekor,120000,,120000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,4.004,DAGING,Daging Sapi Murni,1 kg,160000,,160000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,5.001,TELUR,Telur Ayam Boiler,1 btr,2200,,2200,,,
CITRA MAS,2026-01-05,2026-01,SENIN,5.002,TELUR,Telur Ayam Kampung,1 btr,3500,,3500,,,
CITRA MAS,2026-01-05,2026-01,SENIN,6.001,SUSU,Susu Kental Manis Bendera,370 gr/kl,13000,,13000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,6.003,SUSU,Susu Kental Manis Indomilk,370 gr/kl,13500,,13667,,,
CITRA MAS,2026-01-05,2026-01,SENIN,6.004,SUSU,Susu Bubuk Bendera,400 gr,50000,,50000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,6.006,SUSU,Susu Bubuk Indomilk,400 gr,50000,,50000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,7.001,JAGUNG PIPILAN KERING,Jagung Kwalitas I,1 kg,12000,,12000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,7.002,JAGUNG PIPILAN KERING,Jagung Lokal,1 kg,10000,,10000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,8.002,GARAM BERYODIUM,Garam Halus,bks,3000,,3000,,,
CITRA MAS,2026-01-05,2026-01,SENIN,9.005,TEPUNG TERIGU,Tepung Terigu,kg,10000,,10000,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,1.001,BERAS,Beras Ayam Jago,1 kg,16100,,16100,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,1.002,BERAS,Beras Berlian,1 kg,16100,,16100,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,1.004,BERAS,Beras Ketupat,1 kg,15400,,15400,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,1.005,BERAS,Beras Mawar,1 kg,15400,,15400,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,1.006,BERAS,Beras Pandan Wangi,1 kg,16100,,16100,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,1.008,BERAS,Beras Sulawesi,1 kg,15400,,15400,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,1.009,BERAS,Beras Tawon,1 kg,16100,,16100,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,10.001,KACANG KEDELAI,Kacang Kedelai Impor,kg,18000,,18000,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,11.001,MIE INSTANT,Indomie Rasa Kari Ayam,bks,3000,,3000,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,12.001,CABE,Cabe Biasa/Tiung,kg,60000,,51667,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,12.002,CABE,Cabe Keriting,kg,40000,,45000,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,12.003,CABE,Cabe Merah Besar,kg,60000,,55000,,,
RAWA INDAH,2026-01-05,2026-01,SENIN,12.004,CABE,Cabe Rawit,kg,80000,,86667,,,
